File,Line,Type,Risk,Needs Sorting,Reason,Code
"src/simulation/sleeperWake.ts",149,"Object.values","LOW",false,"No obvious determinism issue - manual review needed","const shouldWake = Object.values(conditions).some(c => c);"
"src/simulation/populationDynamics.ts",1234,"Object.values","SAFE",false,"Logging/debugging only - order does not affect simulation","const trackedDeathsMillions = Object.values(pop.deathsByCategory).reduce((a, b) => a + b, 0); // In millions"
"src/simulation/populationDynamics.ts",1850,"Object.values","HIGH",true,"Hot path execution - called frequently, affects performance/consistency","const totalProximateDeaths = Object.values(proximate).reduce((sum, val) => sum + (typeof val === 'number' ? val : 0), 0); // in MILLIONS"
"src/simulation/populationDynamics.ts",1851,"Object.entries","HIGH",true,"Hot path execution - called frequently, affects performance/consistency","const totalRootCauseDeaths = Object.entries(rootCause)"
"src/simulation/bayesianNuclearRisk.ts",362,"Object.values","HIGH",true,"Hot path execution - called frequently, affects performance/consistency","const totalMultiplier = Object.values(multipliers).reduce((product, m) => product * m, 1.0);"
"src/simulation/populationProvider.ts",158,"Object.values","CRITICAL",true,"State mutation - iteration order affects final state values","const countries = Object.values(this.state.countryPopulationSystem.countries);"
"src/simulation/lifecycle.ts",306,"Object.keys","LOW",false,"No obvious determinism issue - manual review needed","// DETERMINISM FIX (Nov 5, 2025): Replace Object.keys() with explicit key ordering"
"src/simulation/lifecycle.ts",307,"Object.keys","LOW",false,"No obvious determinism issue - manual review needed","// Object.keys() iteration order is non-deterministic in V8, causing AI agent count divergence"
"src/simulation/techTree/engine.ts",350,"Object.keys","SAFE",false,"Logging/debugging only - order does not affect simulation","console.log(`   All regions tracked: ${Object.keys(techTreeState.regionalDeployment).join(', ')}`);"
"src/simulation/techTree/engine.ts",484,"Object.keys","SAFE",false,"Logging/debugging only - order does not affect simulation","console.log(`   Map size: ${Object.keys(techTreeState.researchProgress).length}`);"
"src/simulation/techTree/engine.ts",530,"Object.keys","SAFE",false,"Logging/debugging only - order does not affect simulation","console.log(`   Map size: ${Object.keys(techTreeState.researchProgress).length}`);"
"src/simulation/techTree/engine.ts",605,"Object.values","MEDIUM",true,"Aggregation - order may affect floating point precision","const subdomainValues = Object.values(domainCap as any).filter(v => typeof v === 'number') as number[];"
"src/simulation/techTree/engine.ts",613,"Object.values","CRITICAL",true,"State mutation - iteration order affects final state values","const gov = Object.values(gameState.government.researchInvestments)"
"src/simulation/techTree/engine.ts",617,"Object.values","MEDIUM",true,"Aggregation - order may affect floating point precision","return sum + Object.values(val).reduce((s: number, v) => s + (v as number), 0);"
"src/simulation/techTree/engine.ts",674,"for...in","CRITICAL",true,"State mutation - iteration order affects final state values","for (const region in techTreeState.regionalDeployment) {"
"src/simulation/techTree/helpers.ts",143,"Object.values","LOW",false,"No obvious determinism issue - manual review needed","return Object.values(oldTech).filter((t: any) => t?.unlocked).length;"
"src/simulation/techTree/helpers.ts",168,"Object.values","LOW",false,"No obvious determinism issue - manual review needed","return Object.values(oldTech)"
"src/simulation/techTree/deploymentTimescales.ts",247,"Object.keys","CRITICAL",true,"State mutation - iteration order affects final state values","for (const region of Object.keys(techTreeState.regionalDeployment)) {"
"src/simulation/countryPopulations.ts",349,"Object.values","LOW",false,"No obvious determinism issue - manual review needed","for (const country of Object.values(countries)) {"
"src/simulation/countryPopulations.ts",500,"Object.keys","LOW",false,"No obvious determinism issue - manual review needed","for (const countryName of Object.keys(sys.countries) as CountryName[]) {"
"src/simulation/countryPopulations.ts",619,"Object.values","CRITICAL",true,"State mutation - iteration order affects final state values","const countries = Object.values(sys.countries);"
